date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:06	13921/13921	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:03%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/page/1?PHPSESSID=ad90c510046f52a367ff7d903947eb09	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/page/13b45.html	(from https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/1?PHPSESSID=ad90c510046f52a367ff7d903947eb09)
15:31:07	11222/11222	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:04%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/page/1?PHPSESSID=ad90c510046f52a367ff7d903947eb09	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/page/13b45.html	(from https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/1?PHPSESSID=ad90c510046f52a367ff7d903947eb09)
15:31:08	13921/13921	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:05%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/page/1?PHPSESSID=b938b189956f74e97f56d5a25cc7405c	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/page/1d0d3.html	(from https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/1?PHPSESSID=b938b189956f74e97f56d5a25cc7405c)
15:31:09	11222/11222	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:06%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/page/1?PHPSESSID=b938b189956f74e97f56d5a25cc7405c	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/page/1d0d3.html	(from https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/1?PHPSESSID=b938b189956f74e97f56d5a25cc7405c)
15:31:10	181213/181213	---M--	200	added ('OK')	image/jpeg	etag:%2213a09d-2c3dd-4347332529940%22	https://www.histag-schaumburg.de/data/pool/d519191325.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d5191913259902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/118?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:11	631088/631088	---M--	200	added ('OK')	image/jpeg	etag:%2213a0c6-9a130-4350c11e5dfc0%22	https://www.histag-schaumburg.de/data/pool/d646573530.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d6465735309902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/119?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:12	340600/340600	---M--	200	added ('OK')	image/jpeg	etag:%2213a05e-53278-4350c270ebe80%22	https://www.histag-schaumburg.de/data/pool/d309633094.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d3096330949902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/120?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:13	599650/599650	---M--	200	added ('OK')	image/jpeg	etag:%2213a080-92662-4350c3bcccd80%22	https://www.histag-schaumburg.de/data/pool/d378661422.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d3786614229902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/121?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:14	642074/642074	---M--	200	added ('OK')	image/jpeg	etag:%2213a13f-9cc1a-436763a3d9d80%22	https://www.histag-schaumburg.de/data/pool/d982111165.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d9821111659902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/122?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:15	681107/681107	---M--	200	added ('OK')	image/jpeg	etag:%2213a00e-a6493-4350be489ef80%22	https://www.histag-schaumburg.de/data/pool/d117225986.jpg?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d1172259869902.jpg	(from https://www.histag-schaumburg.de/page/page_ID/123?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
